identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
robertscamera-550b7a5177f7534d56250679efc97ae4,RICOH 		Theta S Spherical 360 Degree Camera,USD,349.95,RICOH,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-557872bc27c70edae9ead451ee809f6f,Canon 		EOS Rebel T7 with EF-S 18-55mm IS II,USD,549.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-569602f9134af1a43a34b17dc90231ff,Canon 		Vixia GX10,USD,2499.99,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-5709dc698c73d7b1ccdd5d73f67360bb,Canon 		PowerShot G9 X,USD,529,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-57dcd8de08100b31c92d80ddf6893f66,Sony 		Cybershot RX100 III,USD,699.99,Sony,new,https://schema.org/InStock,,,,,,,,,
robertscamera-57e009934205b51252dde6a79b5ea967,FujiFilm 		FinePix HS20EXR,USD,399.97,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-58530bcd04a82a2f3eb5516a54664a73,FujiFilm 		FinePix S8600 (Black),USD,199.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-589d98a329e24e720a4e5dddcb54532c,Nikon 		1 V3 with 10-30mm Lens,USD,1196.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-58dd28dc1c65e3763501900413f92b57,Olympus 		TG-870 Camera,USD,279.99,Olympus,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5946352bc916183613319ec22afe4510,Sony 		FDR-AX53 4K Handycam,USD,849.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5995662b372dc23e7de492b73eb2f027,Panasonic 		HC-X920K Camcorder,USD,999.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-59c3f53bab03ce26a466a7cc358fb9c9,Nikon 		D5500 (Body Only),USD,696.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5a6a6a1621c3910ddfe6d6e029a58cff,Hasselblad 		X1D-50c (Body Only),USD,6495,Hasselblad,new,https://schema.org/InStock,,,,,,,,,
robertscamera-5a8f01a28106d14ae1d9ea3537938d3d,FujiFilm 		X100T Digital Camera,USD,1299.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5bd2164357021d3d4e3dae29a9a09115,Sony 		Cyber-shot HX400,USD,399.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5c4852f5ce65cb4c1c0010befa1af8dd,Canon 		PowerShot SX420 IS,USD,229.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5d1b784e7c20fb9d0549c907b6121776,RICOH 		Theta V,USD,429.95,RICOH,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5d8fb116b043e460a2f330dcedb4e475,Sony 		Handycam HDR-CX260V Camcorder,USD,499.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5e2e580a8ac81498f8d048bda9bc8714,Canon 		XC10 4K Professional Camcorder,USD,1799,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5e39bc194fe044e592a821b84318db6e,Nikon 		D7200 (Body Only),USD,996.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5f28af2f40fc280cd166b1571af9939a,Panasonic 		Lumix DMC-SZ10 (Black),USD,199.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5fdc7a1d4f1286bed075281eee204b73,FujiFilm 		X-E2S with XF18-55mm f/2.8-4 R LM OIS,USD,999.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-607fb49c741e2f250c68dd06e2176fab,FujiFilm 		FinePix HS25EXR,USD,399.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-60a2f9f0c31c856919c00b0f2056ec35,Sony 		HDR-PJ260V Handycam Camcorder,USD,599.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-60dbd6e8d0dab4b72090b10c0208f6e4,Canon 		EOS 5D Mark IV (Body Only),USD,3499,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-618855618215a416bb97a5db96437182,Panasonic 		Lumix DMC-G7 with 14-42mm,USD,799.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-62282d5d61624ae8910fff91d69bf792,Panasonic 		LUMIX DMC-FZ2500 Digital Camera,USD,999.99,Panasonic,new,https://schema.org/InStock,,,,,,,,,
robertscamera-62f67e9e236dd863fa5873e0f6bf8d82,Canon 		VIXIA HF G10 Camcorder,USD,1299.99,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-6322cfe03eff29ee33c854a48a888a0e,Sony 		HDR-PJ380 Handycam,USD,599.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-64e498ce37d4802636e36ae66d0a4da7,Canon 		EOS 5D Mark IV with EF 24-105mm f/4L IS II USM,USD,4599,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-6970b6b9b169c1ab98820fde1b30e1fd,Sony 		HDR-CX230 Handycam,USD,279.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-69fe41da5c2c096c1559dca82ebe208f,Sony 		DSC-WX220 Camera,USD,199.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6a1d17f4695cba079b590ed21286b0f2,Nikon 		1 V2 (Body Only),USD,796.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6a7b90e3ef4755241f66f765065c0f8d,Canon 		VIXIA HF R32 Flash Memory Camcorder,USD,499.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6b59513c9670bab8b4ca90fb9425e8a6,Sony 		HDR-X3000R Action Camera with Live-View Remote,USD,549.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6c17f70b8041f080ded5ac9664d868b1,Sony 		HDR-AS300 Action Camera with Live-View Remote,USD,449.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6d47d1265da989fbf4cd81268cfe0183,Panasonic 		HC-V10K Camcorder (Black),USD,229.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6d526a4f6d189fabb9acef4c76c9e34f,Nikon 		Coolpix B700,USD,446.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6d53315a723fa43729cafd24d4c59b20,Canon 		VIXIA HF M50 Camcorder,USD,599.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6db3cc21ad6c8a74b603503e407e2588,Sony 		HDR-PJ200 Full HD Handycam Camcorder,USD,419.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-6e0f32569328f82748c81e26cfaae3b8,Canon 		PowerShot SX40 HS,USD,429,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
